"StudentID","Dropout","cohort","cohort.term","State","RegistrationDate","Gender","BirthYear","BirthMonth","Hispanic","AmericanIndian","Asian","Black","NativeHawaiian","White","TwoOrMoreRace","HSDip","HSDipYr","HSGPAUnwtd","EnrollmentStatus","NumColCredAttemptTransfer","NumColCredAcceptTransfer","CumLoanAtEntry","HighDeg","MathPlacement","EngPlacement","GatewayMathStatus","GatewayEnglishStatus"
26846,1,"2011-12",1,"NJ",20110728,1,1983,10,0,0,0,1,0,0,0,1,-1,-1,2,88,68,-1,0,0,0,0,0
27743,0,"2014-15",1,"NJ",20140729,1,1992,12,1,0,0,0,0,0,0,1,-1,-1,2,107,66,-1,2,0,0,0,0
27936,1,"2015-16",3,"NJ",20150116,2,1969,10,1,0,0,0,0,0,0,1,-1,-1,2,102,66,-1,2,0,0,0,0
28117,1,"2015-16",1,"NJ",20150817,1,1992,10,0,0,0,1,0,0,0,1,2013,2,1,-2,-2,-2,0,1,1,0,0
28229,0,"2016-17",1,"NJ",20160720,2,1982,4,1,0,0,0,0,0,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
28567,1,"2011-12",1,"NJ",20110809,1,1982,4,0,0,0,1,0,0,0,1,-1,-1,2,120,96,-1,3,0,0,0,0
28848,1,"2014-15",1,"NJ",20140501,2,1965,11,1,0,0,0,0,0,0,1,-1,-1,2,-1,79,-1,2,0,0,0,0
28925,1,"2012-13",1,"NJ",20120613,2,1992,11,0,0,1,0,0,0,0,1,-1,-1,2,68,38,-1,0,0,0,0,0
29164,0,"2011-12",1,"NJ",20110620,2,1982,3,0,0,0,1,0,0,0,1,-1,-1,2,0,0,-1,2,0,0,0,0
29716,1,"2012-13",3,"NJ",20121211,2,1968,4,1,0,0,0,0,0,0,1,-1,-1,2,-1,66,-1,2,0,0,0,0
30174,1,"2011-12",3,"NJ",20111222,2,1982,8,1,0,0,0,0,0,0,1,-1,-1,2,92,57,-1,2,0,0,0,0
30292,0,"2016-17",1,"NJ",20160803,2,1981,1,0,0,0,0,0,1,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
30480,1,"2012-13",1,"NJ",20120815,1,1982,6,0,0,0,0,0,1,0,1,-1,-1,2,72,66,-1,2,1,0,0,0
30767,1,"2011-12",3,"NJ",20120106,2,1961,1,0,0,0,1,0,0,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
30985,0,"2014-15",1,"NJ",20140626,2,1981,9,1,0,0,0,0,0,0,1,2014,-1,1,-2,-2,-2,0,1,1,0,0
31126,1,"2015-16",1,"NJ",20150828,2,1982,8,0,0,0,1,0,0,0,1,-1,-1,2,76,30,-1,0,0,0,0,0
31216,0,"2013-14",1,"NJ",20130618,1,1984,9,0,0,0,0,0,1,0,1,-1,2.2,1,-2,-2,-2,0,1,0,0,1
31224,1,"2014-15",1,"NJ",20140902,1,1991,9,0,0,0,0,0,0,1,1,-1,-1,1,-2,-2,-2,0,-1,-1,0,0
31659,0,"2012-13",1,"NJ",20120426,2,1978,12,1,0,0,0,0,0,0,1,-1,-1,2,79,66,-1,2,1,1,0,0
32175,1,"2011-12",1,"NJ",20110325,2,1976,7,0,0,0,0,0,1,0,1,1996,-1,1,-2,-2,-2,0,1,0,0,0
32551,0,"2011-12",3,"NJ",20120110,1,1987,10,1,0,0,0,0,0,0,1,-1,-1,2,107,73,-1,0,0,0,0,0
32781,1,"2012-13",3,"NJ",20130124,2,1963,2,1,0,0,0,0,0,0,2,-1,-1,1,-2,-2,-2,0,1,0,0,0
33332,1,"2011-12",1,"NJ",20110606,2,1983,8,0,0,0,1,0,0,0,1,-1,-1,2,70,54,-1,0,0,0,0,0
33370,0,"2012-13",1,"NJ",20120712,2,1983,5,1,0,0,0,0,0,0,1,-1,-1,2,60,60,-1,0,0,0,0,0
34166,0,"2014-15",3,"NJ",20140126,2,1982,11,1,0,0,0,0,0,0,1,-1,-1,2,-1,79,-1,0,0,0,0,0
34272,0,"2013-14",1,"NJ",20130819,1,1989,3,1,0,0,0,0,0,0,1,-1,-1,2,95,44,-1,0,0,0,0,0
34380,1,"2012-13",3,"NJ",20121127,1,1983,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,60,39,-1,2,0,0,0,0
34666,0,"2011-12",1,"NJ",20110411,1,1991,9,0,0,0,0,0,1,0,1,-1,-1,2,74,66,-1,2,0,0,0,0
34919,0,"2012-13",1,"NJ",20120712,2,1983,7,0,0,0,1,0,0,0,1,-1,-1,2,50,50,-1,2,0,0,0,0
35056,1,"2011-12",1,"NJ",20110714,1,1973,3,1,0,0,0,0,0,0,1,-1,-1,2,75,63,-1,0,0,0,0,0
35315,1,"2011-12",1,"NJ",20110902,1,1978,11,1,0,0,0,0,0,0,1,-1,-1,2,13,10,-1,0,0,0,0,0
35433,1,"2013-14",1,"NJ",20130612,1,1993,10,0,0,0,0,0,0,1,1,-1,-1,2,12,12,-1,0,0,0,0,0
35803,1,"2013-14",3,"NJ",20140117,2,1965,5,0,0,0,0,0,1,0,1,-1,3.48,1,-2,-2,-2,0,-1,-1,0,1
36082,1,"2013-14",3,"NJ",20131030,2,1984,11,1,0,0,0,0,0,0,1,-1,-1,2,74,56,-1,2,0,0,0,0
36438,1,"2011-12",3,"NJ",20111028,2,1992,8,1,0,0,0,0,0,0,1,-1,-1,2,25,25,-1,0,0,0,0,0
36945,1,"2011-12",3,"NJ",20120106,1,1986,12,0,0,1,0,0,0,0,1,-1,-1,1,-2,-2,-2,0,-1,-1,0,0
37218,0,"2015-16",1,"NJ",20150417,2,1977,2,1,0,0,0,0,0,0,1,-1,-1,2,74,60,-1,2,0,0,0,0
37630,0,"2011-12",1,"NJ",20110412,2,1974,5,0,0,0,1,0,0,0,1,-1,-1,2,136,70,-1,0,0,0,0,0
37639,1,"2012-13",1,"NJ",20120627,2,1981,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,0,0,-1,2,0,0,0,0
38319,0,"2012-13",1,"NJ",20120511,1,1983,6,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,0,0,-1,2,0,0,0,0
39414,1,"2011-12",1,"NJ",20110901,1,1983,6,0,0,0,1,0,0,0,1,-1,-1,2,106,81,-1,0,0,0,0,0
39588,1,"2014-15",1,"NJ",20140714,1,1974,8,0,0,0,0,0,1,0,1,-1,-1,2,0,0,-1,0,0,0,1,0
40825,0,"2015-16",1,"NJ",20150616,2,1983,8,0,0,0,0,0,1,0,1,-1,-1,2,127,96,-1,0,0,0,0,0
40904,1,"2013-14",3,"NJ",20140122,2,1964,3,0,0,0,1,0,0,0,1,-1,-1,2,61,51,-1,0,0,0,0,0
41744,0,"2012-13",1,"NJ",20120509,1,1988,6,0,0,0,0,0,1,0,1,-1,-1,2,51,51,-1,0,0,0,0,0
42888,0,"2012-13",1,"NJ",20120830,2,1983,6,1,0,0,0,0,0,0,1,-1,-1,2,143,66,-1,0,0,0,0,0
43071,0,"2014-15",1,"NJ",20140619,1,1983,4,1,0,0,0,0,0,0,1,-1,-1,2,-1,70,-1,2,0,0,0,0
43279,0,"2016-17",1,"NJ",20160616,2,1973,7,0,0,0,0,0,1,0,1,-1,-1,2,-1,96,-1,3,0,0,0,0
43344,1,"2013-14",1,"NJ",20130711,2,1978,8,1,0,0,0,0,0,0,1,-1,-1,2,96.5,66,-1,2,0,0,0,0
43419,0,"2015-16",1,"NJ",20150702,2,1966,4,1,0,0,0,0,0,0,1,-1,-1,2,56,60,-1,2,0,0,0,0
43422,0,"2013-14",1,"NJ",20130427,1,1970,10,0,0,0,1,0,0,0,1,-1,-1,2,94.5,66,-1,2,0,0,0,0
43477,0,"2016-17",1,"NJ",20160412,2,1974,7,1,0,0,0,0,0,0,1,-1,-1,2,37,22,-1,0,0,0,1,0
43533,1,"2012-13",3,"NJ",20130123,1,1982,8,0,0,0,1,0,0,0,1,-1,-1,2,121,96,-1,3,0,0,0,0
43686,1,"2011-12",1,"NJ",20110718,2,1982,12,0,0,0,0,0,1,0,1,-1,-1,2,40,24,-1,0,1,0,1,0
43733,1,"2011-12",1,"NJ",20110607,1,1993,12,0,0,0,1,0,0,0,1,2011,-1,1,-2,-2,-2,0,1,1,1,0
43777,0,"2014-15",1,"NJ",20140827,2,1983,7,0,0,0,1,0,0,0,1,-1,-1,2,120,96,-1,3,0,0,0,0
43882,0,"2012-13",1,"NJ",20120802,2,1989,2,0,0,1,0,0,0,0,1,-1,-1,2,50,9,-1,2,1,1,0,0
44104,0,"2012-13",1,"NJ",20120821,1,1982,1,1,0,0,0,0,0,0,1,-1,-1,2,67,66,-1,2,0,0,0,0
44318,0,"2015-16",3,"NJ",20150122,2,1993,11,0,1,0,0,0,0,0,1,-1,-1,2,79,66,-1,2,0,0,0,0
44372,1,"2013-14",1,"NJ",20130614,1,1992,1,0,0,0,0,0,1,0,1,-1,-1,2,80,64,-1,2,0,0,0,0
44496,0,"2013-14",1,"NJ",20130702,2,1995,1,1,0,0,0,0,0,0,1,2013,2.25,1,-2,-2,-2,0,1,1,1,0
44549,0,"2012-13",3,"NJ",20121023,2,1991,1,0,0,1,0,0,0,0,1,-1,-1,2,14,66,-1,2,0,0,0,0
44757,0,"2016-17",1,"NJ",20160816,2,1983,1,0,0,1,0,0,0,0,1,-1,-1,2,77,43,-1,0,0,0,0,0
45090,0,"2011-12",1,"NJ",20110803,1,1987,9,0,0,1,0,0,0,0,-1,-1,-1,2,39,33,-1,0,0,0,0,0
52248,0,"2013-14",1,"NJ",20130814,1,1970,10,1,0,0,0,0,0,0,1,-1,-1,2,87,66,-1,2,0,0,0,0
55512,0,"2011-12",1,"NJ",20110825,2,1979,7,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,67,64,-1,2,0,0,0,0
63106,1,"2011-12",1,"NJ",20110628,2,1993,7,1,0,0,0,0,0,0,1,2011,2.9,1,-2,-2,-2,0,1,1,0,0
63303,0,"2011-12",1,"NJ",20110714,2,1993,10,0,0,1,0,0,0,0,1,2011,3.2,1,-2,-2,-2,0,1,1,0,0
63322,1,"2011-12",1,"NJ",20110829,2,1993,7,1,0,0,0,0,0,0,1,2011,2.4,1,-2,-2,-2,0,1,1,0,0
63345,0,"2011-12",1,"NJ",20110815,2,1977,6,0,0,0,0,0,1,0,1,-1,-1,2,81,70,-1,2,0,0,0,0
63766,0,"2016-17",1,"NJ",20160420,2,1982,11,1,0,0,0,0,0,0,1,-1,-1,2,56,59,-1,2,0,0,0,0
63908,1,"2015-16",1,"NJ",20150721,2,1991,9,0,0,0,1,0,0,0,1,-1,-1,2,100,46,-1,0,0,0,0,0
64083,0,"2013-14",3,"NJ",20140121,2,1981,5,0,0,1,0,0,0,0,1,-1,-1,2,61,40,-1,0,0,0,0,0
64122,0,"2014-15",3,"NJ",20141216,1,1984,1,1,0,0,0,0,0,0,1,2001,2.8,1,-2,-2,-2,0,1,1,0,1
64199,0,"2012-13",1,"NJ",20120731,2,1983,5,1,0,0,0,0,0,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
64777,0,"2014-15",3,"NJ",20140128,1,1995,3,0,0,1,0,0,0,0,1,2014,-1,1,-2,-2,-2,0,1,1,0,0
64886,1,"2012-13",1,"NJ",20120828,2,1969,10,0,0,0,0,0,1,0,1,-1,-1,2,100,70,-1,2,0,0,0,0
65040,1,"2012-13",3,"NJ",20121212,1,1982,9,1,0,0,0,0,0,0,1,2001,-1,1,-2,-2,-2,0,1,1,0,0
65066,0,"2012-13",1,"NJ",20120712,2,1984,6,1,0,0,0,0,0,0,1,-1,-1,2,89,76,-1,0,0,0,0,0
65424,0,"2012-13",1,"NJ",20120625,2,1983,4,1,0,0,0,0,0,0,1,-1,-1,2,86,81,-1,0,0,0,0,0
65687,0,"2013-14",1,"NJ",20130723,2,1965,10,0,0,0,1,0,0,0,1,-1,-1,2,68,65,-1,2,0,0,0,0
66350,0,"2012-13",3,"NJ",20130118,2,1982,3,1,0,0,0,0,0,0,-1,-1,-1,2,67,66,-1,2,0,0,0,0
66661,0,"2011-12",1,"NJ",20110415,2,1993,7,1,0,0,0,0,0,0,1,2011,3,1,-2,-2,-2,0,0,1,0,0
66672,1,"2012-13",1,"NJ",20120410,2,1984,9,1,0,0,0,0,0,0,1,2001,2.28,1,-2,-2,-2,0,1,1,0,1
66715,1,"2011-12",1,"NJ",20110722,1,1986,11,0,0,0,0,0,1,0,1,-1,-1,2,42,33,-1,0,0,0,0,0
66738,1,"2013-14",1,"NJ",20130709,2,1984,10,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,87,66,-1,2,0,0,0,0
66840,0,"2012-13",1,"NJ",20120814,2,1965,6,0,0,0,1,0,0,0,1,-1,-1,2,65,58,-1,2,0,0,0,0
66888,0,"2011-12",1,"NJ",20110804,2,1972,5,0,0,0,1,0,0,0,1,2001,2.1,1,-2,-2,-2,0,1,1,0,0
67148,1,"2011-12",1,"NJ",20110613,2,1981,8,0,0,0,1,0,0,0,1,-1,-1,2,51,19.5,-1,0,0,0,0,0
67171,1,"2012-13",3,"NJ",20130116,1,1982,12,1,0,0,0,0,0,0,1,-1,-1,2,36,33,-1,0,0,0,0,0
67316,1,"2012-13",1,"NJ",20120827,1,1976,1,1,0,0,0,0,0,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
67421,0,"2015-16",3,"NJ",20160106,2,1966,5,1,0,0,0,0,0,0,1,-1,-1,2,91,66,-1,2,0,0,0,0
67940,0,"2012-13",1,"NJ",20120426,2,1991,11,0,0,0,1,0,0,0,1,-1,-1,2,84,66,-1,2,0,0,0,0
68466,1,"2012-13",1,"NJ",20120712,2,1994,5,0,0,0,1,0,0,0,1,-1,3.4,1,-2,-2,-2,0,1,1,0,0
68658,1,"2013-14",1,"NJ",20130415,1,1995,11,1,0,0,0,0,0,0,1,2013,3.27,1,-2,-2,-2,0,1,0,0,1
68759,1,"2013-14",1,"NJ",20130730,1,1988,6,0,0,0,0,0,1,0,1,-1,-1,2,86,66,-1,2,0,0,1,0
68773,0,"2014-15",1,"NJ",20140506,1,1995,3,1,0,0,0,0,0,0,1,2014,2.28,1,-2,-2,-2,0,1,1,0,1
68809,0,"2013-14",1,"NJ",20130412,2,1992,4,1,0,0,0,0,0,0,1,-1,-1,2,89,66,-1,2,0,0,0,0
68832,0,"2014-15",1,"NJ",20140904,1,1988,3,0,0,0,1,0,0,0,1,-1,-1,2,149,66,-1,2,0,0,0,0
68890,1,"2011-12",1,"NJ",20110413,2,1980,10,1,0,0,0,0,0,0,1,-1,-1,2,80,78,-1,2,0,0,0,0
69034,1,"2015-16",1,"NJ",20150514,2,1995,5,0,0,0,0,0,1,0,1,-1,-1,2,46,37,-1,0,0,0,1,0
69126,0,"2014-15",1,"NJ",20140814,1,1994,7,0,0,0,1,0,0,0,-1,-1,-1,2,47,26,-1,0,0,0,0,0
70093,1,"2011-12",3,"NJ",20120106,1,1984,10,1,0,0,0,0,0,0,1,-1,-1,2,22,19,-1,0,0,0,1,1
70235,1,"2011-12",3,"NJ",20111215,1,1988,5,1,0,0,0,0,0,0,1,-1,-1,2,86,74,-1,0,0,0,0,0
70526,0,"2015-16",1,"NY",20150901,2,1994,7,0,0,1,0,0,0,0,1,-1,-1,2,55,24,-1,0,0,0,0,0
70741,1,"2012-13",1,"NJ",20120816,2,1984,1,0,0,0,1,0,0,0,1,2001,-1,1,-2,-2,-2,0,1,1,0,0
70833,0,"2015-16",3,"NJ",20150119,2,1983,2,1,0,0,0,0,0,0,1,-1,-1,2,0,0,-1,2,0,0,0,0
71251,0,"2014-15",1,"NJ",20140506,2,1983,11,1,0,0,0,0,0,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
71631,1,"2013-14",1,"NJ",20130626,2,1980,10,0,0,0,0,0,1,0,1,-1,-1,2,107,76,-1,2,0,0,0,0
71642,1,"2014-15",1,"NJ",20140430,2,1984,2,1,0,0,0,0,0,0,1,2002,-1,1,-2,-2,-2,0,1,1,0,0
72124,1,"2012-13",1,"NJ",20120710,2,1985,12,0,0,0,0,0,1,0,1,-1,-1,2,73,46,-1,0,0,0,0,0
72172,1,"2012-13",3,"NJ",20130123,2,1970,1,1,0,0,0,0,0,0,1,-1,-1,2,102,81,-1,0,0,0,0,0
72295,1,"2011-12",1,"NJ",20110725,2,1986,9,1,0,0,0,0,0,0,1,-1,-1,2,11,18,-1,0,0,0,0,0
72398,1,"2014-15",1,"NJ",20140702,2,1984,11,0,0,1,0,0,0,0,-1,-1,-1,1,-2,-2,-2,0,-1,-1,0,0
72415,0,"2011-12",3,"NJ",20120104,1,1977,11,1,0,0,0,0,0,0,1,2001,-1,1,-2,-2,-2,0,1,1,0,0
72528,1,"2013-14",1,"NJ",20130827,2,1956,10,0,0,0,1,0,0,0,1,-1,-1,2,106,66,-1,2,0,0,0,0
72612,0,"2011-12",1,"NJ",20110608,2,1993,9,0,0,0,0,0,0,0,1,2011,3.3,1,-2,-2,-2,0,1,1,0,0
72911,0,"2015-16",1,"NJ",20150715,2,1984,10,1,0,0,0,0,0,0,1,-1,-1,2,90,30,-1,0,0,0,0,0
73098,1,"2013-14",1,"NJ",20130827,2,1981,9,0,0,0,1,0,0,0,1,-1,-1,2,135,58,-1,0,1,1,0,0
73122,1,"2013-14",1,"NJ",20130612,1,1984,11,1,0,0,0,0,0,0,1,2002,3,1,-2,-2,-2,0,1,1,0,0
73356,1,"2012-13",1,"NJ",20120906,1,1982,10,0,0,1,0,0,0,0,1,-1,-1,2,75,66,-1,0,0,0,0,0
73979,0,"2015-16",1,"NJ",20150723,1,1984,10,1,0,0,0,0,0,0,1,-1,-1,2,38,25,-1,0,1,0,0,0
73981,0,"2016-17",1,"NJ",20160502,2,1992,6,1,0,0,0,0,0,0,1,2010,-1,2,83,64,-1,2,1,1,0,0
74037,0,"2011-12",3,"NJ",20111228,2,1984,8,1,0,0,0,0,0,0,1,-1,-1,2,88.5,66,-1,2,0,0,0,0
74206,1,"2012-13",3,"NJ",20121219,2,1985,7,1,0,0,0,0,0,0,1,-1,-1,2,-1,76,-1,2,0,0,0,0
74330,0,"2016-17",1,"NJ",20160801,2,1985,5,1,0,0,0,0,0,0,1,-1,-1,2,24,15,-1,0,0,0,0,0
74496,1,"2011-12",1,"NJ",20110804,1,1983,11,-1,-1,-1,-1,-1,-1,-1,1,2001,2.5,1,-2,-2,-2,0,1,1,0,0
74574,1,"2014-15",3,"NJ",20140124,1,1984,7,1,0,0,0,0,0,0,1,-1,-1,2,78,54,-1,0,0,0,0,0
74582,0,"2015-16",1,"NJ",20150608,1,1983,7,1,0,0,0,0,0,0,1,-1,-1,2,58,66,-1,2,0,0,0,0
74676,0,"2016-17",1,"NJ",20160801,2,1984,8,1,0,0,0,0,0,0,1,-1,-1,2,68,66,-1,2,0,0,0,0
74741,1,"2014-15",3,"NJ",20150107,2,1983,11,0,0,1,0,0,0,0,1,-1,-1,2,66,66,-1,2,0,0,0,0
75173,0,"2011-12",1,"NJ",20110716,1,1985,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,54,54,-1,0,0,0,0,0
75254,0,"2014-15",1,"NJ",20140708,1,1987,1,0,0,0,0,0,1,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
75280,1,"2012-13",1,"NJ",20120801,1,1994,6,1,0,0,0,0,0,0,1,-1,1.8,1,-2,-2,-2,0,1,1,0,0
75384,0,"2014-15",1,"NJ",20140527,2,1984,10,1,0,0,0,0,0,0,1,-1,-1,2,80,60,-1,2,0,0,0,0
75962,0,"2011-12",1,"NJ",20110720,2,1984,9,1,0,0,0,0,0,0,1,-1,-1,2,77,66,-1,2,0,0,0,0
76299,1,"2014-15",1,"NJ",20140425,1,1984,1,1,0,0,0,0,0,0,-1,-1,-1,1,-2,-2,-2,0,-1,-1,0,0
76515,0,"2014-15",1,"NJ",20140731,2,1983,11,1,0,0,0,0,0,0,1,-1,-1,2,88,80,-1,0,0,0,0,0
76617,0,"2013-14",1,"NJ",20130826,2,1984,3,0,0,1,0,0,0,0,1,-1,-1,2,-1,79,-1,0,0,0,0,0
76745,1,"2012-13",3,"NJ",20121210,1,1983,3,1,0,0,0,0,0,0,1,-1,-1,2,113,48,-1,0,0,0,0,0
76749,0,"2012-13",3,"NJ",20121026,2,1983,11,1,0,0,0,0,0,0,1,2002,-1,2,66.5,62,-1,2,1,1,0,0
77162,1,"2011-12",1,"NJ",20110428,2,1976,11,1,0,0,0,0,0,0,1,-1,-1,1,-2,-2,-2,0,-1,-1,0,0
77379,1,"2012-13",1,"NJ",20120705,1,1984,6,0,0,1,0,0,0,0,1,-1,-1,2,115.5,92,-1,0,0,0,0,0
77779,0,"2012-13",1,"NJ",20120614,2,1994,3,0,0,0,1,0,0,0,1,2012,3.8,1,-2,-2,-2,0,1,1,0,0
77852,0,"2012-13",1,"NJ",20120619,1,1991,6,0,0,0,0,0,1,0,1,-1,-1,2,0,0,-1,2,0,0,0,0
77893,1,"2013-14",1,"NJ",20130812,1,1983,12,1,0,0,0,0,0,0,1,-1,-1,2,76,66,-1,2,0,0,0,0
78000,1,"2012-13",1,"NJ",20120606,2,1985,2,-1,-1,-1,-1,-1,-1,-1,1,2002,2.9,1,-2,-2,-2,0,1,1,0,0
78264,0,"2015-16",1,"NJ",20150901,2,1983,3,1,0,0,0,0,0,0,1,-1,-1,2,108,61,-1,0,0,0,0,0
78416,0,"2013-14",1,"NJ",20130725,1,1984,8,0,0,0,0,0,1,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
78476,1,"2011-12",1,"NJ",20110823,1,1982,3,0,0,1,0,0,0,0,1,-1,-1,2,92,39,-1,0,0,0,0,0
78607,0,"2013-14",1,"NJ",20130611,2,1973,10,0,0,1,0,0,0,0,1,-1,-1,2,-1,96,-1,2,0,0,0,0
79268,1,"2014-15",1,"NJ",20140603,2,1992,6,0,0,0,0,0,1,0,1,2010,2.8,1,-2,-2,-2,0,1,0,0,0
79832,0,"2014-15",3,"NJ",20140115,2,1979,3,0,0,0,1,0,0,0,1,-1,-1,2,103,78,-1,2,0,0,0,0
79897,0,"2014-15",3,"NJ",20150112,2,1981,4,1,0,0,0,0,0,0,1,-1,-1,2,114,78,-1,2,0,0,0,0
80454,0,"2014-15",1,"NJ",20140707,2,1985,7,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,-1,96,-1,3,0,0,0,0
81733,0,"2011-12",1,"NJ",20110907,1,1978,8,1,0,0,0,0,0,0,1,-1,-1,2,86,66,-1,2,0,0,0,0
81990,0,"2015-16",1,"NJ",20150629,2,1962,2,0,0,0,1,0,0,0,1,-1,-1,2,102,66,-1,2,0,0,0,0
82094,0,"2015-16",1,"NJ",20150615,2,1993,11,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,75,70,-1,2,0,0,0,0
82180,1,"2014-15",3,"NJ",20150112,2,1984,6,1,0,0,0,0,0,0,1,-1,-1,2,89,69,-1,0,0,0,0,0
82498,1,"2013-14",1,"NJ",20130626,1,1995,2,-1,-1,-1,-1,-1,-1,-1,1,2013,2.2,1,-2,-2,-2,0,0,1,1,0
82601,1,"2012-13",1,"NJ",20120716,1,1994,10,1,0,0,0,0,0,0,1,2012,2.5,1,-2,-2,-2,0,0,1,0,0
82611,0,"2011-12",1,"NJ",20110621,1,1993,3,0,0,1,0,0,0,0,1,2011,3.56,1,-2,-2,-2,0,0,1,1,0
82661,0,"2013-14",1,"NJ",20130820,2,1986,9,0,0,0,0,0,1,0,1,-1,-1,2,0,0,-1,0,0,0,0,0
82707,0,"2014-15",1,"NJ",20140408,1,1995,6,1,0,0,0,0,0,0,1,2014,2.37,1,-2,-2,-2,0,1,1,0,0
82719,1,"2012-13",1,"NJ",20120813,2,1989,12,0,0,0,1,0,0,0,1,-1,-1,2,79,79,-1,0,0,0,0,0
82810,0,"2015-16",1,"NJ",20150428,2,1995,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,58,54,-1,0,0,0,0,0
84029,1,"2014-15",1,"NJ",20140822,2,1959,2,0,0,0,0,0,1,0,-1,-1,-1,2,76,64.5,-1,0,0,0,0,0
84038,0,"2015-16",1,"NJ",20150713,1,1995,8,-1,-1,-1,-1,-1,-1,-1,1,2013,-1,2,36,32,-1,0,1,0,0,1
84434,0,"2014-15",3,"NJ",20141022,2,1992,9,0,0,0,1,0,0,0,1,-1,-1,2,116,96,-1,0,0,0,1,0
84495,0,"2013-14",1,"NJ",20130626,2,1986,8,-1,-1,-1,-1,-1,-1,-1,1,-1,3.4,1,-2,-2,-2,0,1,1,1,0
84534,0,"2011-12",1,"NJ",20110415,2,1982,8,1,0,0,0,0,0,0,1,-1,-1,2,66,66,-1,2,0,0,0,0
84629,1,"2013-14",3,"NJ",20131210,2,1986,7,1,0,0,0,0,0,0,1,2004,2.5,1,-2,-2,-2,0,1,1,0,0
84777,0,"2011-12",3,"NJ",20111215,1,1976,11,1,0,0,0,0,0,0,1,-1,-1,2,96,96,-1,2,0,0,0,0
85008,1,"2012-13",3,"NJ",20130128,2,1985,10,1,0,0,0,0,0,0,1,-1,-1,2,-1,96,-1,0,0,0,0,0
85185,0,"2011-12",3,"NJ",20120119,1,1984,5,0,0,1,0,0,0,0,1,2001,-1,2,66,66,-1,2,1,1,0,0
